event_id,player_name_odds,player_key,line_points,line,commence_time,event_home_team,event_away_team,over_price,under_price,all_bookmaker_titles,bookmaker_count,person_id,team_id,q10,q50,q90,selection_side,selection_distance,tail_distance,selection_ratio,model_recommendation,pick_odds,is_recommended
0cab123e90bdf5d1d144a7e26ebc339c,Victor Wembanyama,victor wembanyama,28.5,28.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.0,1.77,"BetRivers, Bovada",2.0,1641705,1610612759,16.127165,28.707066,42.720596,,0.20706558227539062,14.220596313476562,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Donovan Clingan,donovan clingan,9.5,9.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.1,1.69,"BetRivers, Bovada",2.0,1642270,1610612757,5.2075267,11.865492,20.081131,,2.3654918670654297,10.581130981445312,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Deni Avdija,deni avdija,22.5,22.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.87,1.87,"BetRivers, Bovada, BetMGM",3.0,1630166,1610612757,12.688437,23.515926,36.033005,,1.0159263610839844,13.533004760742188,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Jerami Grant,jerami grant,10.5,10.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.2,1.62,"BetRivers, Bovada",2.0,203924,1610612757,6.607352,14.936019,25.288843,,4.436018943786621,14.788843154907227,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Scoot Henderson,scoot henderson,15.5,15.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.1,1.69,"BetRivers, Bovada",2.0,1630703,1610612757,5.823119,13.928503,24.227459,,1.5714969635009766,8.727458953857422,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,De'Aaron Fox,de aaron fox,14.5,14.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.43,2.7,Bovada,1.0,1628368,1610612759,9.471695,19.04034,30.483603,,4.540340423583984,15.983602523803711,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,De'Aaron Fox,de aaron fox,15.5,15.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.59,2.3,Bovada,1.0,1628368,1610612759,9.471695,19.04034,30.483603,,3.5403404235839844,14.983602523803711,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,De'Aaron Fox,de aaron fox,19.5,19.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.5,1.5,Bovada,1.0,1628368,1610612759,9.471695,19.04034,30.483603,,0.4596595764160156,10.983602523803711,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,De'Aaron Fox,de aaron fox,20.5,20.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.85,1.4,Bovada,1.0,1628368,1610612759,9.471695,19.04034,30.483603,,1.4596595764160156,9.983602523803711,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Deni Avdija,deni avdija,19.5,19.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.36,3.0,Bovada,1.0,1630166,1610612757,12.688437,23.515926,36.033005,,4.015926361083984,16.533004760742188,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Deni Avdija,deni avdija,20.5,20.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.48,2.55,Bovada,1.0,1630166,1610612757,12.688437,23.515926,36.033005,,3.0159263610839844,15.533004760742188,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Deni Avdija,deni avdija,21.5,21.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.61,2.25,Bovada,1.0,1630166,1610612757,12.688437,23.515926,36.033005,,2.0159263610839844,14.533004760742188,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Deni Avdija,deni avdija,25.5,25.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.35,1.56,Bovada,1.0,1630166,1610612757,12.688437,23.515926,36.033005,,1.9840736389160156,10.533004760742188,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Deni Avdija,deni avdija,26.5,26.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.65,1.45,Bovada,1.0,1630166,1610612757,12.688437,23.515926,36.033005,,2.9840736389160156,9.533004760742188,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Deni Avdija,deni avdija,27.5,27.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,3.0,1.36,Bovada,1.0,1630166,1610612757,12.688437,23.515926,36.033005,,3.9840736389160156,8.533004760742188,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Devin Vassell,devin vassell,10.5,10.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.43,2.7,Bovada,1.0,1630170,1610612759,5.334508,13.174791,23.25045,,2.6747913360595703,12.750450134277344,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Devin Vassell,devin vassell,11.5,11.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.61,2.25,Bovada,1.0,1630170,1610612759,5.334508,13.174791,23.25045,,1.6747913360595703,11.750450134277344,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Devin Vassell,devin vassell,14.5,14.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.35,1.56,Bovada,1.0,1630170,1610612759,5.334508,13.174791,23.25045,,1.3252086639404297,8.750450134277344,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Devin Vassell,devin vassell,15.5,15.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.7,1.43,Bovada,1.0,1630170,1610612759,5.334508,13.174791,23.25045,,2.3252086639404297,7.750450134277344,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Donovan Clingan,donovan clingan,6.5,6.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.38,2.9,Bovada,1.0,1642270,1610612757,5.2075267,11.865492,20.081131,,5.36549186706543,13.581130981445312,,over,,False
